id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52564,-122.68273,Entire home/apt,159,30,134,2025-06-29,0.73,1,339,3,
61893,Perfect Portland Place,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,130,30,25,2024-11-27,0.23,1,214,1,
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,354,4,80,2025-07-27,0.45,1,317,12,12-123170-000-00-LU
77522,Spacious Suite in Eastmoreland/SE. Hot Tub Dogs OK,345461,Michael,,Eastmoreland,45.47086,-122.63273,Entire home/apt,76,30,138,2025-02-16,0.83,1,361,9,14-227531-000-00-HO
93613,Sunny Queen Room in FUN Alberta Arts,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,81,30,68,2025-09-01,0.40,10,335,1,
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53836,-122.65159,Entire home/apt,186,1,332,2025-08-25,2.01,2,310,22,08-175882-000-00-LU
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55593,-122.65029,Private room,48,30,71,2024-09-01,0.41,10,155,0,
117969,Beautiful Remodeled Apartment,589016,Steven,,Richmond,45.51022,-122.63088,Entire home/apt,84,2,371,2025-08-24,2.96,1,234,28,24-006555-000-00-HO
134282,Daylight Foodie's Paradise & Everyone's Fun Zone,659137,Anjali,,Boise,45.55273,-122.67524,Entire home/apt,78,31,35,2023-06-15,0.21,2,177,0,
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54005222601903,-122.64988089596142,Entire home/apt,95,1,191,2025-05-25,1.14,2,324,12,08-175882-000-00-LU
145199,Two private bedrooms with bath and kitchenette,683139,Amy,,Montavilla,45.52959,-122.59081,Private room,114,3,90,2025-07-26,0.52,1,311,5,24astr-app-00058
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judith,,Richmond,45.50529,-122.63201,Entire home/apt,81,5,34,2024-12-28,0.22,2,26,1,14-212846-000-00-HO
182465,Quiet room next to lively Division St,52505,Judith,,Richmond,45.50582,-122.63389,Private room,68,2,363,2025-08-26,2.12,2,29,23,14-212846-000-00-HO
195632,Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.55083,-122.67567,Entire home/apt,78,30,89,2024-04-14,0.52,2,177,0,17-183022-000-00-HO
199683,"Authentic Portland Flavor, Central!",975606,H Lee,,Rose City Park,45.54458,-122.60223,Private room,42,31,50,2023-09-09,0.31,3,364,0,
217607,WaterFront Pearl - one bedroom one bath.  Close in,971012,Cynthia,,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,100,30,46,2025-08-23,0.27,4,341,1,
218708,Vintage Charm *King* at Opal 28 Apt 3,6313800,Margot,,Kerns,45.5236,-122.63458,Entire home/apt,55,30,275,2025-09-01,1.62,5,55,1,Exempt
222298,"Blues, Brews & Bicycle Guesthouse",1153902,Taizz,,Overlook,45.55815,-122.69218,Private room,65,2,123,2025-08-05,0.73,3,41,7,20-110377-000-00-HO
231732,"large, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55629,-122.69042,Private room,65,30,48,2022-02-07,0.30,3,73,0,
231734,"Private, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55748,-122.69207,Private room,65,2,74,2025-08-17,0.44,3,40,17,20-110377-000-00-HO
236108,Large COMFY Room in Alberta Arts,501715,Teresa,,Sabin,45.55645,-122.64854,Private room,71,30,59,2022-10-15,0.36,10,365,0,
264248,Victorian Retreat near Hawthorne,375920,Cynthia,,Buckman,45.51268,-122.6493,Entire home/apt,138,30,17,2025-07-28,0.11,1,155,1,
269339,Sweet Apartment in Alberta St. Area,960864,Naomi,,King,45.55033,-122.65798,Entire home/apt,,2,375,2022-12-11,2.25,2,0,0,16-213200-000-00-HO
317797,Condo in the Courtyard,828435,Furnished In Portland,,Mt. Tabor,45.510918377814114,-122.61128317425442,Entire home/apt,70,30,44,2025-01-31,0.27,6,180,3,
332420,"Vintage Artist's Home, walk/bike everywhere!",1206902,LeBrie,,Sunnyside,45.518,-122.6322,Entire home/apt,149,3,63,2025-08-11,0.41,1,10,2,17-139025-000-00-HO
345650,GUEST SUITE SURROUNDED BY NATURE,38860,Renata,,Hayhurst,45.48203,-122.71903,Entire home/apt,335,2,139,2022-12-12,0.87,1,251,0,20-133572-000-00-HO
357732,"Cheerful, musical, eclectic home",1810476,Susan,,Multnomah,45.46518,-122.71617,Private room,50,30,36,2025-08-01,0.22,2,248,2,
362775,Kuza Cabin + Fine-Dining Village,1213257,Dayna,,Alameda,45.54903,-122.63423,Entire home/apt,133,1,535,2025-08-22,3.27,8,349,50,24astr-per-00295
383701,Sellwood Music Suite,51531579,Lucca,,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,102,2,442,2025-08-17,2.70,2,236,26,14-224927-000-00-HO
386687,The Heart of Multnomah Village,532509,Maria,,Multnomah,45.4692,-122.71497,Entire home/apt,135,30,236,2024-12-26,1.46,1,354,7,19-264153-000-00-HO
402130,Vintage Charm *Queen* at Opal 28 Apt 1,6313800,Margot,,Kerns,45.52949,-122.63449,Entire home/apt,,30,235,2024-09-03,1.45,5,0,0,Exempt
402191,Vintage Charm *King* at Opal 28 Apt4,6313800,Margot,,Kerns,45.52671,-122.63666,Entire home/apt,66,30,325,2024-10-05,2.00,5,48,1,Exempt
408577,Eclectic cottage & sauna bath house/SE Portland,2034859,Rebecca,,Richmond,45.50964,-122.61787,Entire home/apt,80,2,170,2025-08-16,1.04,2,233,50,18-177894-000-00-HO
413956,"Beautiful, Clean 1920 NoPo Bungalow",1099616,Abraham,,Overlook,45.56557,-122.67893,Entire home/apt,,3,162,2024-12-30,1.01,2,0,2,24ASTR-PER-00243
448195,The Wisteria… Portland Craftsman,2226037,Bruce,,Rose City Park,45.546532,-122.612953,Entire home/apt,321,3,295,2025-08-23,1.82,1,135,18,23-108025-000-00-LU
449461,"Portland Soul, Central! Porch Time!",975606,H Lee,,Rose City Park,45.54244,-122.60331,Private room,39,31,42,2023-10-22,0.26,3,332,0,
450488,"Alberta Arts Rm - fast Wifi, hd TV, Great area!",2236909,Shane,,King,45.56061,-122.6565,Private room,,31,109,2024-08-10,0.68,6,2,0,
450660,"Cozy Alberta Arts Rm - hd TV, A/C, fast Wifi, Desk",2236909,Shane,,King,45.56186,-122.65834,Private room,38,31,106,2025-08-01,0.67,6,52,2,
483614,House w/ Wood Burning Stove and A/C - NE Portland,1387456,Dana,,Cully,45.55794,-122.61679,Entire home/apt,154,30,217,2025-08-23,1.35,1,118,3,20-100186-000-00-HO
522334,A sunny separate studio w/skylights,19234,Robert,,Sellwood-Moreland Improvement League,45.47402,-122.6439,Entire home/apt,,4,556,2025-08-23,3.48,1,7,38,15-122203-000-00-HO
525395,Gorgeous Bungalow with Hot Tub close to Downtown,2555917,Thomas,,South Portland,45.47187,-122.67422,Entire home/apt,328,3,81,2025-02-22,0.55,1,181,3,24ASTR-PER-00030
531553,Garden Oasis in Walkable Mississippi District,1601890,Jane,,Boise,45.55232,-122.67048,Entire home/apt,104,2,413,2025-08-24,2.58,1,257,25,19-261542-000-00-HO
543988,Quaint English Cottage Garden Private Apt.,40759,Robert James,,Laurelhurst,45.52417,-122.61865,Entire home/apt,105,2,360,2025-09-02,2.25,1,233,20,14-229235-000-00-HO
546107,"Hip, Tiny House in North Portland",307635,Andrew,,Humboldt,45.56025,-122.67222,Entire home/apt,62,31,344,2025-08-31,2.14,2,40,3,
548557,NE  Concordia Cabin,2696498,Meredith,,Concordia,45.56995,-122.63151,Entire home/apt,126,2,139,2024-09-29,0.87,1,351,3,16-236406-000-00-HO
557948,"Pretty house, perfect location, EV-friendly",2690880,Randy,,Hosford-Abernethy,45.50857,-122.64463,Entire home/apt,721,7,16,2022-07-14,0.12,1,88,0,18-107431-000-00-HO
566103,Old Portland SE Clinton/Division,1115782,Elliott,,Hosford-Abernethy,45.50535,-122.64138,Entire home/apt,,30,54,2024-06-27,0.34,1,0,0,18-167316-000-00-HO
580155,NE Portland Oregon Modern Victorian Duplex,2854451,Julie,,Eliot,45.53912,-122.66097,Entire home/apt,103,4,100,2025-07-29,0.63,1,222,5,23-092838-000-00-HO
584676,NW Portland Condo on Street Car Line,2881063,Kevin,,Northwest District,45.52972,-122.69269,Entire home/apt,73,30,81,2025-04-30,0.51,1,258,1,
600976,SW 2 Bedroom/Private Bath - SUPER CLEAN,2974150,Shannon,,South Burlingame,45.46519,-122.68488,Private room,100,1,468,2025-08-17,2.93,2,348,63,24-019145-000-00-HO
604270,Mt. Tabor studio with Mt. Hood view,1493662,Jeffrey,,Montavilla,45.51425,-122.58372,Entire home/apt,103,2,660,2025-08-13,4.17,1,9,18,25ASTR-PER-00005
633385,Sweet Room in Charming Central SW Home SUPER CLEAN,2974150,Shannon,,South Burlingame,45.4705,-122.68506,Private room,79,2,255,2025-08-10,1.61,2,347,24,24-019145-000-00-HO
637011,"Eclectic, cheerful, musical home",1810476,Susan,,Multnomah,45.46671,-122.71559,Private room,54,30,21,2022-05-29,0.13,2,97,0,
637362,Sellwood Sanctuary Guest House,869146,Andrew,,Sellwood-Moreland Improvement League,45.46549,-122.65551,Entire home/apt,116,3,370,2025-08-17,2.41,1,325,21,15-102449-000-00-ho
674866,Fantastic Loft in the Pearl (short or long term),1731137,Stephanie,,Pearl,45.52667,-122.68242,Entire home/apt,250,90,61,2024-09-03,0.71,1,365,0,
687927,"Heart on Hawthorne ,  SE Portland",3425231,Kit,,Sunnyside,45.51365,-122.62041,Private room,34,7,196,2025-08-31,1.24,1,221,13,14-255222-000-00-HO
696955,Alberta Arts House - Hip Portlandia,3569549,Ash,,Vernon,45.55888,-122.64747,Entire home/apt,170,30,216,2025-08-23,1.37,1,227,4,
697115,Classic Bedroom/Private Vanity,3190134,Jenna,,Hillsdale,45.48678,-122.68989,Private room,56,30,3,2014-10-01,0.02,4,364,0,
699605,Adorable Alberta Arts Bungalow,2605790,Amanda,,King,45.56611,-122.65743,Entire home/apt,158,30,47,2024-09-15,0.30,1,363,1,15-179947-000-00-HO
704753,Near OHSU. Choice of Clean Rooms. Private Baths.,3190134,Jenna,,Hillsdale,45.48699,-122.69223,Private room,54,30,11,2021-07-31,0.07,4,364,0,
714773,ArtFulLife,1186353,Fredrick,,Northwest District,45.52837,-122.69799,Entire home/apt,57,90,135,2022-11-30,0.86,1,159,0,
748584,Mid-Century Modern House with Japanese Garden,3092836,Morgan,,South Burlingame,45.46608,-122.68792,Entire home/apt,150,31,53,2020-03-20,0.35,1,65,0,
760737,Remodeled basement studio in central Portland,2646777,Kyle,,Buckman,45.51851,-122.64196,Entire home/apt,82,2,297,2025-08-23,3.41,1,252,28,25ASTR-APP-00130
