id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
199568,Garden studio apt,974919,Sara,,Ward 1,44.95192,-123.05614,Entire home/apt,84,4,219,2025-08-07,1.28,1,74,14,
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.92547,-123.04879,Entire home/apt,82,2,438,2025-09-15,3.53,1,162,21,
8524259,Single room in Comfort Home,2421461,Nancy,,Ward 7,44.88991,-123.06846,Private room,54,1,4,2025-09-03,0.04,2,266,1,
9238563,Spacious Suite w/ Private Sauna and AC in City,48017737,Steve & Robin,,Ward 1,44.95392,-123.0547,Entire home/apt,94,2,443,2025-09-02,3.70,1,127,16,
9477671,Stylish Urban Guest Retreat,14797761,Leigh,,Ward 1,44.95675,-123.02419,Entire home/apt,97,1,942,2025-09-20,8.47,1,11,111,
13620753,Private Suite 5 mins to Downtown /60 mins to Coast,78890374,Delia,,Ward 8,44.96082,-123.06966,Private room,69,1,670,2025-09-19,5.96,1,336,66,
13960938,"2 Bedrooms/Private Entry/Private Bath, S Salem",19196434,Maria,,Ward 7,44.90192,-123.05814,Private room,60,3,277,2025-08-18,2.51,1,248,22,
14017093,"Nurses! Room+ near Bush Park, University, Hospital",74488167,Casey,,Ward 2,44.9213,-123.03834,Private room,,1,239,2023-10-16,2.14,1,0,0,
14077210,Light filled Art Loft on Fairmount Hill,2666789,Mary Lou,,Ward 7,44.92475,-123.04907,Entire home/apt,111,2,325,2025-09-14,2.92,1,178,17,
14556351,Ben Lomond House,83848627,Matthew,,Ward 2,44.91507,-123.04065,Entire home/apt,350,2,155,2025-09-08,1.41,1,303,17,
14967922,Beautiful 4-BR near Willamette Univ & Salem Hosp,89181819,Kristen,,Ward 7,44.92106,-123.04616,Entire home/apt,,4,9,2024-05-19,0.10,3,0,0,
15272064,Air conditioned queen bed ensuite bathroom #1b,49073704,Elizabeth,,Ward 2,44.91113,-123.04217,Private room,72,1,1019,2025-09-21,9.34,5,254,104,
15815105,Air-condition King bed ensuite private bathroom #4,49073704,Elizabeth,,Ward 2,44.91015,-123.04219,Private room,98,1,668,2025-09-14,6.20,5,258,60,
16001174,1  Cozy flat w/ office.  Garden/creek views,102278503,Victoria,,Ward 2,44.925816,-123.032356,Entire home/apt,98,60,5,2025-07-24,0.13,5,279,3,
16830697,Wine Escape,111865646,Stephanie,,Ward 2,44.9424567,-122.9975313,Entire home/apt,117,1,66,2025-09-22,2.84,1,298,33,
17238122,Pringle creek furnished flats,102278503,Victoria,,Ward 2,44.92538,-123.03349,Entire home/apt,87,60,10,2024-03-30,0.16,5,235,0,
18979869,"West Salem: Relax, Refresh and Room to sprawl",16355487,Sandy & Ben,,Ward 8,44.97377,-123.0755,Private room,76,30,1,2017-08-21,0.01,1,83,0,
19413555,Perfect Home for Willamette Family Weekend,136086406,John,,Ward 7,44.9127,-123.06229,Entire home/apt,255,3,5,2025-07-22,0.05,1,57,1,
19488223,Juke Joint in Wine Country,136789901,Greg,,Ward 2,44.93075,-123.018797,Entire home/apt,,2,42,2023-12-27,1.30,1,0,0,
19532562,Historic Cottage close to downtown for Eclipse,134427390,Nathan,,Ward 1,44.93746,-123.02308,Entire home/apt,,2,1,2017-08-21,0.01,1,0,0,
